Title,manifest_url,canvas_number,image_url,City,Country,wkt,Date,Month,Year,Journal Type,notice,pre_1900,gender (M/F/NA),photographic? (yes/no),"vêtement (chair, costume, accessoire)","altérité (distance, performance, normatif)",bugs (x si pas sûr que léopard),tags
The Illustrated London News 1878-04-27: Vol 72 Iss 2026,https://iiif.archive.org/iiif/sim_illustrated-london-news_1878-04-27_72_2026/manifest.json,0,"https://iiif.archive.org/image/iiif/3/sim_illustrated-london-news_1878-04-27_72_2026%2fsim_illustrated-london-news_1878-04-27_72_2026_jp2.zip%2fsim_illustrated-london-news_1878-04-27_72_2026_jp2%2fsim_illustrated-london-news_1878-04-27_72_2026_0000.jp2/452,1654,3005,3670/full/0/default.jpg",London,United Kingdom,POINT(-0.1275 51.507222222222),1878-04-27,4,1878,News,,yes,M,no,costume,distance,,
Puck 1889-06-05: Vol 25 Iss 639,https://iiif.archive.org/iiif/sim_puck_1889-06-05_25_639/manifest.json,9,"https://iiif.archive.org/image/iiif/3/sim_puck_1889-06-05_25_639%2fsim_puck_1889-06-05_25_639_jp2.zip%2fsim_puck_1889-06-05_25_639_jp2%2fsim_puck_1889-06-05_25_639_0009.jp2/352,1116,598,668/full/0/default.jpg",New York City,United States of America,POINT(-74.006015 40.712728),1889-06-05,6,1889,Humour,,yes,F,no,costume,distance,,
The Illustrated London News 1891-08-29: Vol 99 Iss 2732,https://iiif.archive.org/iiif/sim_illustrated-london-news_1891-08-29_99_2732/manifest.json,18,"https://iiif.archive.org/image/iiif/3/sim_illustrated-london-news_1891-08-29_99_2732%2fsim_illustrated-london-news_1891-08-29_99_2732_jp2.zip%2fsim_illustrated-london-news_1891-08-29_99_2732_jp2%2fsim_illustrated-london-news_1891-08-29_99_2732_0018.jp2/2831,945,1070,1410/full/0/default.jpg",London,United Kingdom,POINT(-0.1275 51.507222222222),1891-08-29,8,1891,News,,yes,M,no,costume,distance,,
Paris-photographe,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1208416c/manifest.json,322,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k1208416c/f323/197,758,2445,2596/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),1892-01-01,na,1892,,,yes,F,yes,accessoire,normatif,,
The Illustrated London News 1892-10-22: Vol 101 Iss 2792,https://iiif.archive.org/iiif/sim_illustrated-london-news_1892-10-22_101_2792/manifest.json,12,"https://iiif.archive.org/image/iiif/3/sim_illustrated-london-news_1892-10-22_101_2792%2fsim_illustrated-london-news_1892-10-22_101_2792_jp2.zip%2fsim_illustrated-london-news_1892-10-22_101_2792_jp2%2fsim_illustrated-london-news_1892-10-22_101_2792_0012.jp2/401,865,3194,3965/full/0/default.jpg",London,United Kingdom,POINT(-0.1275 51.507222222222),1892-10-22,10,1892,News,,yes,F,no,accessoire,normatif,,
The Illustrated London News 1892-10-29: Vol 101 Iss 2793,https://iiif.archive.org/iiif/sim_illustrated-london-news_1892-10-29_101_2793/manifest.json,24,"https://iiif.archive.org/image/iiif/3/sim_illustrated-london-news_1892-10-29_101_2793%2fsim_illustrated-london-news_1892-10-29_101_2793_jp2.zip%2fsim_illustrated-london-news_1892-10-29_101_2793_jp2%2fsim_illustrated-london-news_1892-10-29_101_2793_0024.jp2/1668,3398,1038,1940/full/0/default.jpg",London,United Kingdom,POINT(-0.1275 51.507222222222),1892-10-29,10,1892,News,,yes,F,no,accessoire,normatif,,
The Illustrated London News 1892-12-03: Vol 101 Iss 2798,https://iiif.archive.org/iiif/sim_illustrated-london-news_1892-12-03_101_2798/manifest.json,28,"https://iiif.archive.org/image/iiif/3/sim_illustrated-london-news_1892-12-03_101_2798%2fsim_illustrated-london-news_1892-12-03_101_2798_jp2.zip%2fsim_illustrated-london-news_1892-12-03_101_2798_jp2%2fsim_illustrated-london-news_1892-12-03_101_2798_0028.jp2/1549,2163,1025,1650/full/0/default.jpg",London,United Kingdom,POINT(-0.1275 51.507222222222),1892-12-03,12,1892,News,,yes,F,no,accessoire,normatif,,
The Cosmopolitan 1893-01: Vol 14 Iss 3,https://iiif.archive.org/iiif/sim_cosmopolitan_1893-01_14_3/manifest.json,38,"https://iiif.archive.org/image/iiif/3/sim_cosmopolitan_1893-01_14_3%2fsim_cosmopolitan_1893-01_14_3_jp2.zip%2fsim_cosmopolitan_1893-01_14_3_jp2%2fsim_cosmopolitan_1893-01_14_3_0038.jp2/846,537,1146,1598/full/0/default.jpg",New York City,United States of America,POINT(-74.006015 40.712728),01.01.1893,na,1893,Fashion,,yes,F,yes,accessoire,normatif,,
The Illustrated London News 1893-02-04: Vol 102 Iss 2807,https://iiif.archive.org/iiif/sim_illustrated-london-news_1893-02-04_102_2807/manifest.json,28,"https://iiif.archive.org/image/iiif/3/sim_illustrated-london-news_1893-02-04_102_2807%2fsim_illustrated-london-news_1893-02-04_102_2807_jp2.zip%2fsim_illustrated-london-news_1893-02-04_102_2807_jp2%2fsim_illustrated-london-news_1893-02-04_102_2807_0028.jp2/1618,3400,1032,1698/full/0/default.jpg",London,United Kingdom,POINT(-0.1275 51.507222222222),1893-02-04,2,1893,News,,yes,F,no,accessoire,normatif,,
Revue illustrée (Paris. 1885),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6268131q/manifest.json,39,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6268131q/f40/2067,596,1106,663/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),1894-06-15,6,1894,"Culture, Leisure",,yes,M,no,costume,performance,,
Phillipsburg herald. [volume],https://iiif.unige.ch/dhportal/ug24955015/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug25343157/full/full/0/default.jpg,Phillipsburg,United States of America,POINT(-99.3222 39.7553),1897-07-22,7,1897,News,,yes,M,no,costume,distance,,
The Loup City northwestern. [volume],https://iiif.unige.ch/dhportal/ug22031032/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug24511707/full/full/0/default.jpg,Loup City,United States of America,POINT(-98.968055555556 41.277222222222),1897-07-23,7,1897,News,,yes,M,no,costume,distance,,
The Bryan daily eagle.,https://iiif.unige.ch/dhportal/ug23317028/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug23353415/full/full/0/default.jpg,Bryan,United States of America,POINT(-96.3667 30.6656),1897-08-05,8,1897,News,,yes,M,no,costume,distance,,
La Revue des revues (Paris. 1890),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6289941q/manifest.json,401,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k6289941q/f402/742,1325,1284,942/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),1897-10-01,10,1897,,,yes,F,no,accessoire,performance,,
The Magazine of Art,https://iiif.unige.ch/dhportal/ug27804858/manifest,511,"https://iiif.unige.ch/iiif/2/fedora_ug27806278;512/575,740,503,760/full/0/default.jpg",London,United Kingdom,POINT(-0.1275 51.507222222222),1898-01-01,na,1898,Art Journal,,yes,F,no,accessoire,performance,,
New-York tribune. [volume],https://iiif.unige.ch/dhportal/ug13661915/manifest,0,https://iiif.unige.ch/iiif/2/fedora_ug12763700/full/full/0/default.jpg,New York City,United States of America,POINT(-74 40.7),1898-10-09,10,1898,News,,yes,M,yes,costume,performance,,
Le rire : journal humoristique,https://digi.ub.uni-heidelberg.de/diglit/iiif/rire1899_1900/manifest.json,740,"https://digi.ub.uni-heidelberg.de/iiif/2/rire1899_1900%3A307_03.jpg/265,2160,439,758/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),1899-01-01,na,1899,Humour,,yes,M,no,chair,performance,,
Le Sport universel illustré,https://gallica.bnf.fr/iiif/ark:/12148/bpt6k65792084/manifest.json,114,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k65792084/f115/651,1678,3118,2216/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),1899-01-07,na,1899,Sports,,yes,M,yes,accessoire,distance,,
Le Monde illustré (1857),https://gallica.bnf.fr/iiif/ark:/12148/bpt6k62284285/manifest.json,16,"https://gallica.bnf.fr/iiif/ark:/12148/bpt6k62284285/f17/2922,1447,1093,1559/full/0/default.jpg",Paris,France,POINT(2.3513888888889 48.856944444444),1899-03-18,3,1899,"Culture, Leisure",,yes,M,yes,costume,performance,,
The Illustrated London News 1900-05-26: Vol 116 Iss 3188,https://iiif.archive.org/iiif/sim_illustrated-london-news_1900-05-26_116_3188/manifest.json,33,"https://iiif.archive.org/image/iiif/3/sim_illustrated-london-news_1900-05-26_116_3188%2fsim_illustrated-london-news_1900-05-26_116_3188_jp2.zip%2fsim_illustrated-london-news_1900-05-26_116_3188_jp2%2fsim_illustrated-london-news_1900-05-26_116_3188_0033.jp2/2664,899,1157,1432/full/0/default.jpg",London,United Kingdom,POINT(-0.1275 51.507222222222),26.05.1900,5,1900,News,,no,M,yes,accessoire,normatif,,
Studio : international art,https://digi.ub.uni-heidelberg.de/diglit/iiif/studio1901/manifest.json,13,"https://digi.ub.uni-heidelberg.de/iiif/2/studio1901%3A002.jpg/500,327,1113,2280/full/0/default.jpg",London,United Kingdom,POINT(-0.1275 51.507222222222),01.01.1901,na,1901,Modern Art Journal,,no,F,no,costume,performance,,
Lustige Blätter,https://digi.ub.uni-heidelberg.de/diglit/iiif/lb16/manifest.json,858,"https://digi.ub.uni-heidelberg.de/iiif/2/lb16%3A00_51_07.jpg/187,58,1829,2445/full/0/default.jpg",Berlin,Germany,POINT(13.383333333333 52.516666666667),01.01.1901,na,1901,Humour,,no,F,no,costume,performance,,
Lustige Blätter,https://digi.ub.uni-heidelberg.de/diglit/iiif/lb16/manifest.json,889,"https://digi.ub.uni-heidelberg.de/iiif/2/lb16%3Ai.jpg/188,238,1823,2478/full/0/default.jpg",Berlin,Germany,POINT(13.383333333333 52.516666666667),01.01.1901,na,1901,Humour,,no,F,no,costume,performance,,
al- ǧāmiʻa,https://digitale-sammlungen.ulb.uni-bonn.de/i3f/v20/3093847/manifest,419,"https://digitale-sammlungen.ulb.uni-bonn.de/i3f/v20/3081097/733,1360,641,1005/full/0/default.jpg",Alexandria,Egypt,POINT(29.8925 31.1975),01.01.1901,na,1901,,,no,M,no,costume,normatif,,
